problems,purpose
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 3, ""Stres"": 5, ""Po\u015bpiech"": 4, ""Przebod\u017acowanie"": 2, ""Problemy ze snem"": 4, ""Brak cierpliwo\u015bci"": 3}",Nikola
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 3, ""Frustracja"": 3}","Szukać najważniejszych zadań, na nich się skupiać , cenić wspólny czas"
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Stres"": 5}","Nie krzyczeć, spokojnie reagować na emocje dzieci "
"{""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Chcę być bardziej cierpliwa i zmniejszyć poczucie winy.
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Po\u015bpiech"": 5, ""Frustracja"": 3}",Nie krzyczeć i nie wybuchać na dzieci
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}","Wiecej dystansu do dzieci, meza i otoczenia. Zastanowienie sie nad odpowiedziami zanim padna z moich ust.niepodnoszenie glosu w rozmowach. Uwazniejsze sluchanie. "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 5}",Chcę mniej krzyczeć
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 2, ""Wybuchy z\u0142o\u015bci"": 3, ""Przebod\u017acowanie"": 4, ""Brak cierpliwo\u015bci"": 3, ""Stres"": 3, ""Po\u015bpiech"": 5}",Chce byc spokojniejsza i nie krzyczec na dzieci. Nie irytować sie tak łatwo i troche zwolnic
"{""Frustracja"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 4, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Brak cierpliwo\u015bci"": 2}","Być bardzirj wyrozumiala, zblizyc sie do dzieci."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 1, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 1}",Nie krzyczeć
"{""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Poczuć spokój, odprężenie - wrócić do samej siebie."
"{""Wybuchy z\u0142o\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 5}",Skończyć z krzykiem
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Stres"": 4, ""Frustracja"": 3}",Mniej krzyczeć
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Frustracja"": 3}","Mniej impulsywnych wybuchów złości, reagowanie na nerwowe sytuacje z większym spokojem, zachowywanie dystansu "
"{""Przebod\u017acowanie"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Impulsywno\u015b\u0107"": 2, ""Po\u015bpiech"": 4, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 3, ""Poczucie winy"": 2, ""Stres"": 3}",Mniej krzyczeć
"{""Impulsywno\u015b\u0107"": 1, ""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Przebod\u017acowanie"": 1, ""Po\u015bpiech"": 1, ""Stres"": 1, ""Poczucie winy"": 1, ""Wybuchy z\u0142o\u015bci"": 1, ""Problemy ze snem"": 1, ""Brak cierpliwo\u015bci"": 1}",Zmiana siebie.poprawa na lepsze
"{""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Po\u015bpiech"": 2, ""Stres"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",Przestać krzyczeć i się nie denerwować
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5}","Krzyki, nie panowanie nad sobą. "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 2, ""Problemy ze snem"": 2, ""Stres"": 2, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Po\u015bpiech"": 2}","Chce być spokojna, ciepła mama dla swoich dzieci. Chce przestać krzyczeć, umieć zapanować nad złością."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Więcej cierpliwości w stresujących sytuacjach
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 5}","Mniej krzyku, więcej cierpliwości "
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3}",Spokojniej reagować.
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Mniej krzyczeć.
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Wybuchy z\u0142o\u015bci"": 3}","Chcę być łagodniejsza dla dzieci, przestać krzyczeć. Być dobra dla siebir"
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Impulsywno\u015b\u0107"": 3}","większa cierpliwosc, spokojniejsze reagowanie na trudne sytuacje "
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Frustracja"": 1, ""Brak cierpliwo\u015bci"": 4}",...
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Chcę być bardziej cierpliwa dla chłopców, nie używać przemocy, nie krzyczeć, nie karać "
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Brak cierpliwo\u015bci"": 3}",Chce być lepszą mamą
"{""Frustracja"": 3, ""Impulsywno\u015b\u0107"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 3}",Spokojniejsze reakcje na zachowania mojego dziecka.
"{""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 2, ""Po\u015bpiech"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Zatrzymywanie wybuchu złości
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",Reagowanie ze spokojem
"{""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 3, ""Frustracja"": 3, ""Stres"": 3, ""Po\u015bpiech"": 5}","Więcej spokoju, mniej pospiechu"
"{""Frustracja"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Brak cierpliwo\u015bci"": 3}","Mniej frustracji, złości, krzyku, powrót do wewnętrznego spokoju, cierpliwości. "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Frustracja"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Problemy ze snem"": 3}","Mniej krzyku i wybuchów złości i agresji,  panowanie nad emocjami w trudnych momentach "
"{""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Chciałabym mniej się złościć i mniej krzyczeć.
"{""Frustracja"": 5, ""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Opanować wybuchy złości
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 2, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 3}","Nie krzyczec na dzieci
Prioretyzacja self-care"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 2, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Lepsze reakcje
"{""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 1, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 3}","Chce przestac złoscic sie na moje dzieci, przestac krzyczec na nich, przestac denerwowac sie. 
Chce byc cierpliwsza, wyrozumiała, chce dac im 100% poczucia bezpieczenstwa"
"{""Stres"": 4, ""Po\u015bpiech"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4}",Mniej krzyczeć
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 3}","Chcę byc bardziej cierpliwa, mniej impulsywna,  zyc w zgodzie ze sobą i członkami rodziny."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Nie rozumiem pytania, dziwnie brzmi. Liczę na to że będę spokojna mama dla swojego dziecka "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Przebod\u017acowanie"": 3}","Chce w miły sposób odnosić sie do starszego syna nawet jesli nie wykonal polecen, nie krzyczeć "
"{""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 3}",Nie rozumim
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 5, ""Frustracja"": 4}",Mniej krzyczeć na dzieci. Tłumaczyć spokojnie i stanowczo a nie krzykiem
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Reagować świadomie i spokojnie
"{""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5}","Zachować spokój w sytuacjach hałasu, kłótni dzieci i marudzenia"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 4, ""Przebod\u017acowanie"": 4}",Przestać krzyczeć na dzieci
"{""Impulsywno\u015b\u0107"": 1, ""Brak cierpliwo\u015bci"": 1, ""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Problemy ze snem"": 1, ""Przebod\u017acowanie"": 1, ""Po\u015bpiech"": 1, ""Stres"": 1, ""Poczucie winy"": 1, ""Wybuchy z\u0142o\u015bci"": 1}","Nie krzyczeć, mieć wiecej cierpliwosci "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Nie wiem
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 2, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Przebod\u017acowanie"": 3, ""Frustracja"": 3}",Nie chce agresywnie odnosić się do dzieci
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Mniej krzyku , więcej cierpliwości więcej zrozumienia , mniej stresu dużo rozwiązań "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Cierpliwość, empatyczność, szczęście i współpraca z dzieckiem, cieszenie się wspólnym czasem"
"{""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 2, ""Stres"": 4, ""Po\u015bpiech"": 5, ""Przebod\u017acowanie"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 4}","nie krzyczeć, nie spieszyć się i mieć milszy glos"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Wybuchy z\u0142o\u015bci"": 4}",Przestać krzyczeć
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 5, ""Stres"": 3, ""Po\u015bpiech"": 1, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 4}",Frustracja
"{""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 2, ""Przebod\u017acowanie"": 4, ""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Panowanie nad emocjami, więcej cierpliwości, eliminacja krzyku."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Spokojnie reagować na codzienne problemy.
"{""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 5, ""Wybuchy z\u0142o\u015bci"": 2, ""Stres"": 4, ""Po\u015bpiech"": 4, ""Frustracja"": 4}",X
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Poczucie winy"": 5}",Chce byc lepsza mama bez krzyku i poczucia winy chce byc zrelaksowana i miec duzo czasu dla siebie i rodziny
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Wybuchy z\u0142o\u015bci"": 4, ""Brak cierpliwo\u015bci"": 4}","Reagować w spokojniejszy sposób, hamować impulsywne odruchy, być pogodniejsza w relacji z dziećmi "
"{""Przebod\u017acowanie"": 3, ""Problemy ze snem"": 4, ""Frustracja"": 2}",Mniej uzywaz tel
"{""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2}",Umiejętność zapanowania nad przebodźcowaniem hałasem i związaną z tym impulsywnoscią
"{""Brak cierpliwo\u015bci"": 1}",Cierpliwość
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Być spokojna i nie krzyczec
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Cierpliwość, brak krzyku "
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Chce bez pośpiechu cieszczyc się chwilami z synem
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 5}",Nie wiem
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Poczucie winy"": 4}",Rozpocząć spokojne życie z moją ukochaną córeczką
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Poczucie winy"": 5, ""Przebod\u017acowanie"": 3}","Mieć więcej cierpliwości dzięki czemu nie będę krzyczeć, stawiać lepsze granice żeby mieć przestrzeń na siebie "
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Stres"": 4, ""Po\u015bpiech"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 4}","Mam nadzieję, na więcej spokoju i mniej wybuchów złości "
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Brak cierpliwo\u015bci"": 5, ""Stres"": 5, ""Impulsywno\u015b\u0107"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Więcej cierpliwości i spokoju a mniej krzyku
"
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4, ""Stres"": 4, ""Po\u015bpiech"": 3, ""Przebod\u017acowanie"": 3, ""Impulsywno\u015b\u0107"": 3}",Opanowanie
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Chciałabym reagować spokojnie na potrzeby Basi, nawet jeśli krzyczy, marudzi, jest zmęczona lub sprawia wrażenie, że sama nie wie, czego chce.
Chciałabym w takich momentach okazać jej więcej empatii, zamiast frustrować się tym, że mam jeszcze tak dużo do zrobienia, że nie ma czasu na humory dziecka. Chciałabym w tych momentach nie czuć takiej presji. Chciałabym rozmawiać z mężem o problemach, sprawach, konfliktach z szacunkiem, bez krzyku, popadania w rozpacz, wkurwienie, wulgaryzmy, rękoczyny. Chciałabym czuć więcej spokoju, radości ze swojego życia i pewności, że nie robię mojemu dziecku krzywdy swoimi zachowaniami."
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Spokój, równowaga, więcej cierpliwości"
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Chce być dobr5a mamą
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4}",Dziecięce sytuację dnia codziennego i pomoc dziecku
"{""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2, ""Brak cierpliwo\u015bci"": 5}",Chce zdążyć się wyregulować przed wybuchem złości.
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Problemy ze snem"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Po\u015bpiech"": 4, ""Poczucie winy"": 3}",Być opanowanym w pośpiechu.
"{""Brak cierpliwo\u015bci"": 5, ""Przebod\u017acowanie"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 3, ""Impulsywno\u015b\u0107"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Muszę opanować swoją złość w stosunku do moich dzieci
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Po\u015bpiech"": 4, ""Poczucie winy"": 4, ""Frustracja"": 5}",Umiejętność zarządzania przebodzcowaniem aby tak nie frustrować się dziećmi.
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Cel
"{""Stres"": 5, ""Przebod\u017acowanie"": 4, ""Problemy ze snem"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 5, ""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 5, ""Po\u015bpiech"": 3}",Spokojniej podchodzić do danych sytuacji
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5}",Mila wesoła mama
"{""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 2}",Lepiej reagować na trudne zachowania córki i gryzienie synka
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3}",Więcej opanowania i mniej nerwów
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 4, ""Po\u015bpiech"": 3, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 5, ""Brak cierpliwo\u015bci"": 4}","Nie chce krzyczeć lub krzyczeć zdecydowanie mniej. Wiem, że to tak naprawdę nie wina dziecka. Nie chcę tak od razu wybuchać."
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Być cierpliwa i nie krzyczeć. Znaleźć chwilę czasu dla siebie.
